X,subsidy
0.041666666666666664,0.011554483068586127
0.08333333333333333,0.006090673557590031
0.125,0.0033340329083693452
0.16666666666666666,0.0020053395066378797
0.20833333333333331,0.0013031680247062463
0.25,0.000899085379055902
0.29166666666666663,0.000649964147513142
0.3333333333333333,0.00048767691929969175
0.375,0.0003771363947512842
0.41666666666666663,0.0002990341946478195
0.4583333333333333,0.00024214066388972193
0.5,0.000199613809431552
0.5416666666666666,0.00016711709713553407
0.5833333333333333,0.0001418073421872186
0.625,0.00012176500250884724
0.6666666666666666,0.00010566050981937057
0.7083333333333333,9.255194027815069e-05
0.75,8.175851564359809e-05
0.7916666666666666,7.277933919554508e-05
0.8333333333333333,6.523991089855429e-05
0.875,5.885615177365263e-05
0.9166666666666666,5.340972578065113e-05
0.9583333333333333,4.873080730208349e-05
