time,a_0.1,a_0.3,a_0.5
0.0,0.0,0.0,0.0
0.1,2.0762999317305586,6.162683502186924,10.162412749993955
0.2,4.310314521389688,12.63950256471944,20.595887778038296
0.30000000000000004,6.709461066952923,19.409118935405182,31.213209780574825
0.4,9.280694308370567,26.44419873403972,41.92069226290231
0.5,12.03033920618677,33.71159824461722,52.621413727079734
0.6000000000000001,14.963908663568883,41.17279778035745,63.21869665521348
0.7000000000000001,18.085908918969654,48.78458474482555,73.61956813805772
0.8,21.399636500175617,56.499969610302294,83.73794279527495
0.9,24.906971840237183,64.26929819059545,93.4973015155457
1.0,28.608175896549092,72.04150736140602,102.83270607501937
1.1,32.501697261286594,79.76545825042028,111.69205980136296
1.2000000000000002,36.58399820846204,87.39127379108285,120.03660921271859
1.3,40.84940876246883,94.87160685602244,127.840746854239
1.4000000000000001,45.290018117434236,102.16277137400054,135.09122858792685
1.5,49.89561238682005,109.22568235248428,141.78594852780725
1.6,54.65366671293089,116.02656633885911,147.93242383249296
1.7000000000000002,59.54939819610687,122.53742361978446,153.54613338477668
1.8,64.56588373396512,128.7362411829442,158.6488340488232
1.9000000000000001,69.68424413649544,134.60697277650704,163.26695128491417
2.0,74.88389254349553,140.1393151207519,167.43011232196037
2.1,80.14284214356955,145.32831793034808,171.16986336014236
2.2,85.43806335176666,150.17386980646313,174.5185896186395
2.3000000000000003,90.74588022762732,154.680102332056,177.50863946873508
2.4000000000000004,96.04239078305676,158.8547515960914,180.17164142736695
2.5,101.30389599338451,162.70851152825904,182.53799493341688
2.6,106.50732102901405,166.25440676748363,184.63651172313342
2.7,111.63061305589068,169.50720605804975,186.49418333137996
2.8000000000000003,116.65310127470111,172.48289051669158,188.13605095163388
2.9000000000000004,121.55580729164035,175.19818528169662,189.58515583179047
3.0,126.32169715379973,177.67015806510372,190.86255099444955
3.1,130.9358686707537,179.91588426754842,191.98735793715986
3.2,135.3856730661946,181.95217545937192,192.9768548062973
3.3000000000000003,139.66077128505674,183.79536610195763,193.84658516898327
3.4000000000000004,143.75312923688642,185.4611522680725,194.61047885528478
3.5,147.65695828762097,186.96447560278457,195.28097834269192
3.6,151.36860895386508,188.31944574751748,195.86916583348705
3.7,154.88642673562117,189.539294690879,196.3848875133453
3.8000000000000003,158.21057948727312,190.63635704646865,196.83687256220531
3.9000000000000004,161.34286529616438,191.62207096091618,197.2328454283648
4.0,164.2865094422754,192.50699489024402,197.57963034363715
4.1000000000000005,167.04595806991395,193.3008362405919,197.88324768212377
4.2,169.62667476141965,194.01248862602932,198.14900213617145
4.3,172.03494538085778,194.65007479395018,198.38156272860635
4.4,174.27769507617293,195.22099321117906,198.58503517601122
4.5,176.36232013937732,195.73196631463608,198.76302688084178
4.6000000000000005,178.29653667514773,196.18908927991097,198.91870514908885
4.7,180.0882466970329,196.59787803339373,199.05484918155366
4.800000000000001,181.74542200956998,196.9633159766386,199.17389628119545
4.9,183.27600524035748,197.28989866371347,199.27798290533326
5.0,184.68782724981588,197.58167620458082,199.36898104200657
5.1000000000000005,185.98853971732385,197.8422931435023,199.4485303481935
5.2,187.18556146026805,198.07502563272416,199.5180665307878
5.300000000000001,188.2860371622438,198.28281593784473,199.57884636889435
5.4,189.29680686133315,198.46830430620835,199.6319697512664
5.5,190.22438486369882,198.63385822660874,199.67839906121324
5.6000000000000005,191.07494666872665,198.78159922078632,199.71897621214433
5.7,191.8543225571409,198.91342729502176,199.75443760983967
5.800000000000001,192.56799677617943,199.03104319144876,199.78542728456534
5.9,193.22111121608827,199.13596858953252,199.81250841004993
6.0,193.81847263615754,199.2295644006792,199.83617340237723
6.1000000000000005,194.36456268054474,199.31304730988882,199.8568527701079
6.2,194.8635499920414,199.38750470764418,199.8749228673977
6.300000000000001,195.3193038033806,199.4539081490332,199.8907126838857
6.4,195.73540853663772,199.51312546988788,199.90450978494107
6.5,196.11517900488067,199.56593168172847,199.9165655142134
6.6000000000000005,196.46167589550748,199.61301875894918,199.9270995448607
6.7,196.77772124987655,199.65500442328502,199.93630386369324
6.800000000000001,197.06591373575714,199.69244002238898,199.94434626087627
6.9,197.32864355248498,199.7258175914693,199.95137336894814
7.0,197.56810684579293,199.7555761780748,199.95751331890474
7.1000000000000005,197.7863195428202,199.78210749993303,199.9628780798381
7.2,197.98513054566052,199.80576101275966,199.96756550943041
7.300000000000001,198.16623424400873,199.82684844051926,199.9716611069602
7.4,198.33118232677865,199.8456478291769,199.97523957542438
7.5,198.48139488642713,199.86240717308453,199.97836621104616
7.6000000000000005,198.61817082086492,199.8773476395762,199.98109805383152
7.7,198.74269754722937,199.8906664559621,199.98348494050774
7.800000000000001,198.85606004766552,199.90253949870578,199.98557043873615
7.9,198.95924927341463,199.91312360972677,199.9873925872972
8.0,199.05316993520418,199.92255862900794,199.98898464901427
8.1,199.13864771093805,199.9309692346054,199.99037567038113
8.200000000000001,199.21643590307457,199.9384666067732,199.99159103661682
8.3,199.28722157847952,199.94514986479436,199.9926529319857
8.4,199.35163122364037,199.951107365768,199.99358072871547
8.5,199.41023594775376,199.9564179073046,199.9943913682301
8.6,199.46355626290207,199.9611517195323,199.99509963618237
8.700000000000001,199.512066463906,199.96537141447735,199.99571846697165
8.8,199.55619865463515,199.96913282601886,199.99625914948234
8.9,199.59634643579147,199.9724857006934,199.99673155342663
9.0,199.63286828753454,199.97547441760523,199.99714430454185
9.1,199.66609065690682,199.97813850822837,199.99750492672183
9.200000000000001,199.6963107700867,199.98051323694386,199.99782001681638
9.3,199.72379922368947,199.9826300220854,199.99809530856206
9.4,199.74880235799998,199.9845168823416,199.99833584138568
9.5,199.77154439927247,199.98619878653358,199.9985459975731
9.600000000000001,199.79222941494473,199.98769799809972,199.99872961064432
9.700000000000001,199.8110431327191,199.98903435625064,199.99889004408604
9.8,199.82815457728293,199.9902255553177,199.99903021111828
9.9,199.84371753303006,199.99128735314164,199.99915267751993
10.0,199.8578719471448,199.9922338143587,199.99925968058582
