time,deterministic,sample_mean,sample_sd
0.0,0.0,0.0,0.0
0.1,0.005083087752981224,0.005000000000000002,8.688109649605698e-19
0.2,0.010334675470887749,0.010149750303029339,0.00014637803237705672
0.30000000000000004,0.015758183479665143,0.015468651406741012,0.0003553584055658156
0.4,0.021356931464422683,0.021005917292352988,0.0006192648583186509
0.5,0.027134122655911044,0.026648035585375117,0.0009049054443093996
0.6000000000000001,0.03309282731774846,0.03244635652844027,0.0012480040473865845
0.7000000000000001,0.03923596557056612,0.03851639052110217,0.0015828200888167434
0.8,0.045566289593110265,0.04487877444924815,0.0021790134855721407
0.9,0.05208636526255675,0.05119195640453441,0.0027552905288465634
1.0,0.05879855330321247,0.05769786946338958,0.003351566934753574
1.1,0.06570499001636214,0.06437224369788169,0.0038752043970665113
1.2000000000000002,0.07280756768394649,0.0714972460492268,0.0044257340455380835
1.3,0.08010791474461591,0.07881058980922964,0.005335435008395251
1.4000000000000001,0.087607375853624,0.08639825555867556,0.005799783109048801
1.5,0.09530699194900408,0.09378501105916538,0.006404123328037943
1.6,0.1032074804571168,0.10181151542119878,0.007494553250682776
1.7000000000000002,0.11130921578077153,0.10985780970266378,0.00802955645857526
1.8,0.11961221022804853,0.11856763678487624,0.009302767116869151
1.9000000000000001,0.12811609553265244,0.12706020205478014,0.010250062443397432
2.0,0.1368201051496452,0.1357353297658148,0.011015801863587141
2.1,0.1457230575018267,0.14419486577679358,0.012072030809749532
2.2,0.15482334034778567,0.15330091699925166,0.01300331682110945
2.3000000000000003,0.16411889645233055,0.16243861490804998,0.014715541680555222
2.4000000000000004,0.17360721077215108,0.17136576077232785,0.015908822999344926
2.5,0.18328529931471682,0.18037487383778278,0.01698715419495856
2.6,0.1931496998871379,0.19052909850687552,0.018425123426500472
2.7,0.20319646483989165,0.20024445250630732,0.01986902228519999
2.8000000000000003,0.21342115605114378,0.21035231379987418,0.020626702569768632
2.9000000000000004,0.22381884227397333,0.2208659737197112,0.022909910952189628
3.0,0.23438409896743884,0.2308469572998837,0.023750643508008245
3.1,0.24511101081157155,0.24110235331649535,0.025057548664957765
3.2,0.25599317683176825,0.252508976539917,0.026964927633955166
3.3000000000000003,0.2670237185272009,0.2630881773974191,0.028571463244276417
3.4000000000000004,0.2781952907570951,0.27472280847464664,0.031175489807136133
3.5,0.28950009534210785,0.28693326572599065,0.03284005303129273
3.6,0.3009298983474806,0.2982857836671537,0.03497946589107175
3.7,0.3124760486792648,0.3096390638123019,0.03654265484018676
3.8000000000000003,0.3241295020701246,0.32051217744010047,0.03864795939921647
3.9000000000000004,0.33588084413369185,0.33212820756585004,0.040126337885752976
4.0,0.34772032058385804,0.344110385124193,0.04336533048862428
4.1000000000000005,0.35963786599033987,0.3550515340079185,0.04562182359349279
4.2,0.3716231343331257,0.3670929786730982,0.04749480774354653
4.3,0.38366554079738024,0.37788949376754893,0.049060047755640955
4.4,0.3957542886522707,0.3905256417102033,0.050585289487576145
4.5,0.40787841401187114,0.4017249697376497,0.052326074513921815
4.6000000000000005,0.42002682372957995,0.4139931943002508,0.054205650105752706
4.7,0.43218833319746286,0.42618164125568286,0.0549397644442734
4.800000000000001,0.44435171239975124,0.4375165829717102,0.056579309452838664
4.9,0.45650572138307827,0.44938920913496183,0.05824451386483191
5.0,0.46863915713268073,0.4603133193533452,0.05882595239392549
5.1000000000000005,0.4807408911245443,0.4727010060356609,0.06171807399214171
5.2,0.4927999116304223,0.48504336462575,0.06402815137952345
5.300000000000001,0.504805363630916,0.4971189021139827,0.06462150748530918
5.4,0.5167465855794898,0.5068817423903227,0.06497994225027326
5.5,0.5286131496161526,0.5193644267939065,0.066097210019955
5.6000000000000005,0.5403948925422299,0.5317921613756247,0.06733151665696513
5.7,0.5520819537434726,0.5435859056383269,0.06724378809957034
5.800000000000001,0.5636648023509294,0.5553849965601766,0.06766531194637444
5.9,0.5751342677190748,0.5679113614608152,0.06907732444925307
6.0,0.5864815665203096,0.5794374394543081,0.07087675958698039
6.1000000000000005,0.5976983223316766,0.5906748952904114,0.0725830707714377
6.2,0.6087765907648681,0.6030557202325145,0.07580522677176768
6.300000000000001,0.6197088750545869,0.6155189712579103,0.07594891733649582
6.4,0.6304881392491638,0.6249263650331854,0.07757385833459983
6.5,0.6411078229993765,0.6370684877823344,0.08070010259114274
6.6000000000000005,0.6515618487167282,0.6464084589776203,0.08246794105827596
6.7,0.6618446282487935,0.6570226138657056,0.08413653211399548
6.800000000000001,0.6719510662909465,0.6673315224856115,0.08705970286167332
6.9,0.6818765609071866,0.6777503834018849,0.08929350912151382
7.0,0.6916170018334236,0.6870096362134188,0.09004024982064879
7.1000000000000005,0.7011687661716317,0.6940878013411323,0.09069504337414643
7.2,0.7105287118645447,0.7022666888770005,0.09182760133881507
7.300000000000001,0.7196941690996196,0.7102689203275047,0.09129149003703246
7.4,0.7286629298059629,0.7192226769743961,0.0924385894944021
7.5,0.7374332352410147,0.7289339898868077,0.09494435366026766
7.6000000000000005,0.7460037624170932,0.7356557959422068,0.09475106036411816
7.7,0.7543736084761463,0.7432434644554226,0.09689743334957858
7.800000000000001,0.7625422747951124,0.7524046011458366,0.0981495782699465
7.9,0.7705096490691449,0.7601734713020861,0.09747522228769293
8.0,0.7782759874341583,0.7689966406662777,0.09806136221005152
8.1,0.785841895452771,0.7777059081867986,0.09782077752127107
8.200000000000001,0.7932083085916041,0.7860957427626408,0.09897683767299431
8.3,0.800376472846769,0.7968119185785021,0.09892362313951396
8.4,0.8073479244602594,0.8036536190872007,0.09724515260020862
8.5,0.8141244701830799,0.8127388314392573,0.09870202129719274
8.6,0.8207081674464396,0.8196838263283732,0.09841898867947217
8.700000000000001,0.8271013044286709,0.8263866621304027,0.0990221489999703
8.8,0.8333063809653806,0.8315514673735439,0.10034947935062298
8.9,0.8393260893727604,0.8377250840702667,0.10066496327970896
9.0,0.8451632958656531,0.8406411122478253,0.10080321672631475
9.1,0.8508210227974764,0.8454442546009434,0.10019692491231343
9.200000000000001,0.856302431048768,0.8474323768305377,0.10070638942690147
9.3,0.861610803318573,0.8562298989409624,0.09986440262162295
9.4,0.8667495282516601,0.8607102702145724,0.10060762223076042
9.5,0.8717220848920847,0.8663729891477736,0.10375592815193359
9.600000000000001,0.8765320282010007,0.8696889969429283,0.10262450646448067
9.700000000000001,0.881182975337534,0.873810381367157,0.1003964228602467
9.8,0.885678592433481,0.8798605805475135,0.10146148504622061
9.9,0.8900225824625478,0.8823813249844225,0.10054997272002095
10.0,0.8942186737567385,0.886516273179354,0.10077644853922849
