beta,relative_value,relative_subsidy,converged,final_error
0.25,1.48951331638826,1.6252881745697252,1,8.387964271605597e-06
0.29,1.245102618157118,1.4976427417722071,1,9.305915227741934e-06
0.33,1.0,1.0,1,8.525646308044088e-06
0.37,0.7549175324984262,0.6161670680301764,1,9.598003771316144e-06
0.41,0.5099097464337683,0.3551284555477506,1,8.563355891055835e-06
