b,relative_value,relative_subsidy,converged,final_error
0.55,0.9573745073172348,5.111661034944744,1,8.237478596129222e-06
0.75,0.9803989368830284,2.2792805359403676,1,9.231620879290858e-06
0.957,1.0,1.0,1,8.525646308044088e-06
1.15,1.0146072010302178,0.38655039096181365,1,8.564628387830453e-06
1.35,1.0272844914851995,0.188684923401037,1,8.246338666140218e-06
